express partner,flight num,dep stn,arrv stn,cancel description,a/c type,nose,pbt,sch dep time (local),time cancel (local),hh:mm cnxl (before)/after sch dep time,ex sec
C5-Commutair,4363,LRD,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,18,2025-11-11 12:05:00,2025-11-07 15:23:46.965,(4 20:),  
C5-Commutair,4365,BRO,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0159,37,2025-11-11 17:15:00,2025-11-07 15:18:01.228,(5 01:),  
C5-Commutair,4365,BRO,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0131,26,2025-11-12 17:15:00,2025-11-09 12:47:24.657,(4 04:),  
C5-Commutair,4366,IAH,LRD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0202,36,2025-11-12 14:40:00,2025-11-09 12:43:16.893,(4 01:),  
C5-Commutair,4368,IAD,ROA,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0199,24,2025-11-07 08:30:00,2025-11-06 14:43:00.000,(17:47),  
C5-Commutair,4368,IAD,ROA,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,37,2025-11-10 08:30:00,2025-11-07 16:01:00.000,(3 16:),  
C5-Commutair,4370,TUL,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,41,2025-11-09 11:51:00,2025-11-06 17:01:25.096,(3 18:),  
C5-Commutair,4371,IAH,LIT,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,35,2025-11-09 09:49:00,2025-11-06 17:04:39.170,(3 16:),  
C5-Commutair,4374,LRD,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0202,37,2025-11-12 17:22:00,2025-11-09 12:43:15.635,(4 04:),  
C5-Commutair,4375,IAH,LCH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0198,37,2025-11-12 16:30:00,2025-11-09 12:46:18.246,(4 03:),  
C5-Commutair,4376,TUL,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0186,24,2025-11-12 18:50:00,2025-11-09 12:42:22.949,(4 06:),  
C5-Commutair,4815,IAD,CHO,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,32,2025-11-11 12:57:00,2025-11-07 16:26:52.030,(4 20:),  
C5-Commutair,4819,IAH,OKC,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,36,2025-11-08 09:40:00,2025-11-06 14:36:10.595,(2 19:),  
C5-Commutair,4827,LFT,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,18,2025-11-08 14:00:00,2025-11-06 14:35:25.501,(2 23:),  
C5-Commutair,4827,LFT,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,46,2025-11-10 14:00:00,2025-11-07 14:45:00.000,(3 23:),  
C5-Commutair,4827,LFT,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0170,30,2025-11-12 14:00:00,2025-11-09 12:47:23.144,(4 01:),  
C5-Commutair,4830,LIT,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,42,2025-11-09 11:57:00,2025-11-06 17:04:38.386,(3 18:),  
C5-Commutair,4840,IAD,CHO,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0196,46,2025-11-10 18:35:00,2025-11-07 16:04:00.000,(4 02:),  
C5-Commutair,4842,OKC,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,38,2025-11-08 12:04:00,2025-11-06 14:36:12.347,(2 21:),  
C5-Commutair,4850,IAH,MOB,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0169,30,2025-11-12 12:55:00,2025-11-09 12:42:24.485,(4 00:),  
C5-Commutair,4859,LBB,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0163,25,2025-11-12 15:21:00,2025-11-09 12:41:20.744,(4 02:),  
C5-Commutair,4862,MOB,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0169,21,2025-11-12 15:15:00,2025-11-09 12:42:23.662,(4 02:),  
C5-Commutair,4865,IAD,GSO,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0142,37,2025-11-12 17:28:00,2025-11-09 13:50:43.039,(4 03:),  
C5-Commutair,4866,ROA,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,25,2025-11-11 19:50:00,2025-11-07 16:30:44.816,(5 03:),  
C5-Commutair,4868,XNA,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,47,2025-11-09 18:50:00,2025-11-06 17:04:08.910,(4 01:),  
C5-Commutair,4869,IAH,PNS,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,47,2025-11-09 14:35:00,2025-11-06 17:02:13.660,(3 21:),  
C5-Commutair,4870,HRL,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0175,28,2025-11-07 17:00:00,2025-11-06 13:45:24.556,(2 03:),  
C5-Commutair,4870,HRL,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,20,2025-11-11 17:00:00,2025-11-07 15:25:13.203,(5 01:),  
C5-Commutair,4896,IAH,JAN,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,36,2025-11-08 11:55:00,2025-11-06 14:34:23.455,(2 21:),  
C5-Commutair,4896,IAH,JAN,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,33,2025-11-11 11:55:00,2025-11-07 15:20:28.218,(4 20:),  
C5-Commutair,4905,HSV,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,30,2025-11-10 14:26:00,2025-11-07 14:56:00.000,(3 23:),  
C5-Commutair,4923,MOB,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,19,2025-11-08 17:10:00,2025-11-06 14:36:35.298,(3 02:),  
C5-Commutair,4923,MOB,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,27,2025-11-10 17:10:00,2025-11-07 14:28:17.322,(4 02:),  
