express partner,flight num,dep stn,arrv stn,date,nose,sch dep time (local),sch arrv time (local),act dep time (local),act arrv time (local)
YX-Republic,3311,MYR,PIT,2025-11-08,0758,2025-11-08 17:00:00,2025-11-08 18:30:00,2025-11-08 22:08:00,2025-11-08 23:43:00
YX-Republic,3311,BNA,CMH,2025-11-10,0779,2025-11-10 17:55:00,2025-11-10 20:15:00,2025-11-11 00:22:00,2025-11-11 02:04:00
YX-Republic,3312,BNA,MEM,2025-11-08,0776,2025-11-08 17:00:00,2025-11-08 18:10:00,2025-11-09 03:27:00,2025-11-09 04:33:00
YX-Republic,3312,PIT,MEM,2025-11-09,0729,2025-11-09 13:00:00,2025-11-09 15:00:00,2025-11-09 18:09:00,2025-11-09 20:15:00
YX-Republic,3312,GRB,CLT,2025-11-10,0786,2025-11-10 16:00:00,2025-11-10 19:05:00,2025-11-10 21:58:00,2025-11-11 00:12:00
YX-Republic,3313,CHS,CMH,2025-11-08,0749,2025-11-08 21:00:00,2025-11-08 22:30:00,2025-11-09 02:00:00,2025-11-09 03:41:00
YX-Republic,3313,ORF,ILM,2025-11-09,0775,2025-11-09 13:00:00,2025-11-09 14:15:00,2025-11-09 18:17:00,2025-11-09 19:13:00
YX-Republic,3314,BNA,CMH,2025-11-09,0756,2025-11-09 19:45:00,2025-11-09 22:00:00,2025-11-10 01:39:00,2025-11-10 02:51:00
YX-Republic,3314,BNA,GRB,2025-11-10,0785,2025-11-10 16:00:00,2025-11-10 17:45:00,2025-11-10 21:31:00,2025-11-10 23:39:00
YX-Republic,3315,STL,DCA,2025-11-10,0756,2025-11-10 19:00:00,2025-11-10 22:00:00,2025-11-11 02:44:00,2025-11-11 04:45:00
YX-Republic,3316,SYR,CLE,2025-11-09,0768,2025-11-09 15:05:00,2025-11-09 16:18:00,2025-11-09 20:20:00,2025-11-09 21:47:00
YX-Republic,3317,CMH,STL,2025-11-09,0746,2025-11-09 21:32:00,2025-11-09 21:52:00,2025-11-10 01:28:00,2025-11-10 04:00:00
YX-Republic,3318,GRB,PIT,2025-11-09,0747,2025-11-09 17:15:00,2025-11-09 19:55:00,2025-11-09 23:26:00,2025-11-10 00:58:00
YX-Republic,3319,PIT,CLE,2025-11-09,0770,2025-11-09 18:45:00,2025-11-09 19:35:00,2025-11-10 01:51:00,2025-11-10 02:34:00
YX-Republic,3320,CLT,IND,2025-11-09,0731,2025-11-09 22:30:00,2025-11-10 00:01:00,2025-11-10 05:59:00,2025-11-10 07:40:00
